lsoa_code,pop,econ_score,infrastructure_score,health_score,percent_working,percent_child,percent_old
E01000236,1896,0.2505,28.7123333333333,-0.73,0.57753164556962,0.300632911392405,0.15295358649789
E01000237,2175,0.182,28.9113333333333,-0.797,0.660229885057471,0.217471264367816,0.138390804597701
E01000238,2104,0.2085,26.9316666666667,-0.572,0.608840304182509,0.281368821292776,0.133555133079848
E01000239,2102,0.2425,29.2766666666667,-0.441,0.732159847764034,0.174119885823026,0.134157944814462
E01000240,1777,0.2165,29.193,-0.249,0.642656162070906,0.199774901519415,0.231288688801351
E01000241,1819,0.169,21.134,-1.267,0.628367234744365,0.200109950522265,0.217702034084662
E01000242,1624,0.1585,22.4376666666667,-1.28,0.560344827586207,0.234605911330049,0.235837438423645
E01000243,2161,0.2295,28.6226666666667,-0.434,0.669134659879685,0.218880148079593,0.135122628412772
E01000244,1653,0.1915,32.646,-0.64,0.695099818511797,0.157289776164549,0.177253478523896
E01000245,2068,0.2945,28.012,0.058,0.718085106382979,0.184719535783366,0.147001934235977
E01000246,1571,0.095,17.496,-1.632,0.576702737110121,0.186505410566518,0.310630171865054
E01000247,1653,0.1325,18.5816666666667,-0.696,0.669086509376891,0.203266787658802,0.199637023593466
E01000248,1705,0.1075,21.9426666666667,-0.855,0.598826979472141,0.181818181818182,0.282111436950147
E01000249,1606,0.0595,14.4376666666667,-1.668,0.587795765877958,0.183686176836862,0.308841843088418
E01000250,2614,0.1445,19.9573333333333,-1.099,0.670237184391737,0.169089517980107,0.21805661820964
E01000251,2235,0.207,23.7916666666667,0.225,0.643400447427293,0.187472035794183,0.19910514541387
E01000252,1698,0.1595,20.7083333333333,-0.609,0.648409893992933,0.177267373380448,0.24263839811543
E01000253,2029,0.0545,13.8656666666667,-1.539,0.571710202069985,0.203548546081814,0.302119270576639
E01000254,1603,0.0615,19.031,-1.804,0.584529008109794,0.174672489082969,0.316281971303805
E01000255,1699,0.1885,25.2146666666667,-0.112,0.62978222483814,0.202472042377869,0.207180694526192
E01000256,1956,0.134,22.567,-1.15,0.597648261758691,0.235173824130879,0.206543967280164
E01000257,2403,0.2225,23.8566666666667,-0.268,0.67665418227216,0.205992509363296,0.145651269246775
E01000258,1893,0.1055,21.841,-1.355,0.611199154780771,0.182250396196513,0.267828843106181
E01000259,2638,0.171,21.706,-0.866,0.628506444275967,0.205079605761941,0.223654283548143
E01000260,2181,0.2,28.431,-0.682,0.658872077028886,0.221916552040348,0.171939477303989
E01000261,1817,0.075,18.5316666666667,-1.676,0.521739130434783,0.190974133186571,0.297743533296643
E01000263,1538,0.0315,11.7913333333333,-1.916,0.596228868660598,0.215214564369311,0.245123537061118
E01000264,1845,0.204,26.889,-0.886,0.662872628726287,0.204878048780488,0.185907859078591
